sequencia	referencia	identidade	cobertura
WP_014342369.1	3c41_J	30	36
WP_014342369.1	3c41_J	24	37
WP_014342369.1	3c4j_B	30	36
WP_014342369.1	3c4j_B	24	37
WP_014342369.1	3c4j_A	30	36
WP_014342369.1	3c4j_A	24	37
WP_014342369.1	2q0h_B	30	36
WP_014342369.1	2q0h_B	24	37
WP_014342369.1	2q0h_A	30	36
WP_014342369.1	2q0h_A	24	37
WP_014342369.1	2ouk_D	30	36
WP_014342369.1	2ouk_D	24	37
WP_014342369.1	2ouk_C	30	36
WP_014342369.1	2ouk_C	24	37
WP_014342369.1	2ouk_B	30	36
WP_014342369.1	2ouk_B	24	37
WP_014342369.1	2ouk_A	30	36
WP_014342369.1	2ouk_A	24	37
WP_014342369.1	2olk_D	30	36
WP_014342369.1	2olk_D	24	37
WP_014342369.1	2olk_C	30	36
WP_014342369.1	2olk_C	24	37
WP_014342369.1	2olk_B	30	36
WP_014342369.1	2olk_B	24	37
WP_014342369.1	2olk_A	30	36
WP_014342369.1	2olk_A	24	37
WP_014342369.1	2olj_B	30	36
WP_014342369.1	2olj_B	24	37
WP_014342369.1	2olj_A	30	36
WP_014342369.1	2olj_A	24	37
WP_014342369.1	7m1q_A	31	34
WP_014342369.1	7m1q_A	28	45
WP_014342369.1	7m1q_A	29	36
WP_014342369.1	7m1q_A	23	33
WP_014342369.1	7m1p_A	31	34
WP_014342369.1	7m1p_A	28	45
WP_014342369.1	7m1p_A	29	36
WP_014342369.1	7m1p_A	23	33
WP_014342369.1	7lkp_A	31	34
WP_014342369.1	7lkp_A	28	45
WP_014342369.1	7lkp_A	29	36
WP_014342369.1	7lkp_A	23	33
WP_014342369.1	7e7o_A	31	34
WP_014342369.1	7e7o_A	28	45
WP_014342369.1	7e7o_A	29	36
WP_014342369.1	7e7o_A	23	33
WP_014342369.1	7e7i_A	31	34
WP_014342369.1	7e7i_A	28	45
WP_014342369.1	7e7i_A	29	36
WP_014342369.1	7e7i_A	23	33
WP_014342369.1	7lkz_A	30	34
WP_014342369.1	7lkz_A	28	45
WP_014342369.1	7lkz_A	30	36
WP_014342369.1	7lkz_A	24	33
WP_014342369.1	7e7q_A	30	34
WP_014342369.1	7e7q_A	28	45
WP_014342369.1	7e7q_A	30	36
WP_014342369.1	7e7q_A	24	33
WP_014342369.1	4zir_B	31	35
WP_014342369.1	4zir_B	23	38
WP_014342369.1	4hlu_C	31	35
WP_014342369.1	4hlu_C	23	38
WP_014342369.1	4hlu_D	31	35
WP_014342369.1	4hlu_D	23	38
WP_014342369.1	2it1_B	28	40
WP_014342369.1	2it1_B	28	37
WP_014342369.1	2it1_A	28	40
WP_014342369.1	2it1_A	28	37
WP_014342369.1	6z67_E	28	41
WP_014342369.1	6z67_E	25	28
WP_014342369.1	6z67_B	28	41
WP_014342369.1	6z67_B	25	28
WP_014342369.1	6z67_C	28	41
WP_014342369.1	6z67_C	25	28
WP_014342369.1	6z63_C	28	41
WP_014342369.1	6z63_C	25	28
WP_014342369.1	6z63_B	28	41
WP_014342369.1	6z63_B	25	28
WP_014342369.1	6z63_A	28	41
WP_014342369.1	6z63_A	25	28
WP_014342369.1	6z4w_A	28	41
WP_014342369.1	6z4w_A	25	28
WP_014342369.1	3dhw_H	30	39
WP_014342369.1	3dhw_H	25	37
WP_014342369.1	3dhw_G	30	39
WP_014342369.1	3dhw_G	25	37
WP_014342369.1	3dhw_D	30	39
WP_014342369.1	3dhw_D	25	37
WP_014342369.1	3dhw_C	30	39
WP_014342369.1	3dhw_C	25	37
WP_014342369.1	6cvl_D	30	39
WP_014342369.1	6cvl_D	26	37
WP_014342369.1	6cvl_C	30	39
WP_014342369.1	6cvl_C	26	37
WP_014342369.1	3tuz_H	30	39
WP_014342369.1	3tuz_H	26	37
WP_014342369.1	3tuz_G	30	39
WP_014342369.1	3tuz_G	26	37
WP_014342369.1	3tuz_D	30	39
WP_014342369.1	3tuz_D	26	37
WP_014342369.1	3tuz_C	30	39
WP_014342369.1	3tuz_C	26	37
WP_014342369.1	3tuj_D	30	39
WP_014342369.1	3tuj_D	26	37
WP_014342369.1	3tuj_C	30	39
WP_014342369.1	3tuj_C	26	37
WP_014342369.1	3tui_H	30	39
WP_014342369.1	3tui_H	26	37
WP_014342369.1	3tui_G	30	39
WP_014342369.1	3tui_G	26	37
WP_014342369.1	3tui_D	30	39
WP_014342369.1	3tui_D	26	37
WP_014342369.1	3tui_C	30	39
WP_014342369.1	3tui_C	26	37
WP_014342369.1	4xtc_T	30	39
WP_014342369.1	4xtc_T	26	36
WP_014342369.1	4xtc_S	30	39
WP_014342369.1	4xtc_S	26	36
WP_014342369.1	4xig_T	30	39
WP_014342369.1	4xig_T	26	36
WP_014342369.1	4xig_S	30	39
WP_014342369.1	4xig_S	26	36
WP_014342369.1	4tqv_P	30	39
WP_014342369.1	4tqv_P	26	36
WP_014342369.1	4tqv_O	30	39
WP_014342369.1	4tqv_O	26	36
WP_014342369.1	4tqv_L	30	39
WP_014342369.1	4tqv_L	26	36
WP_014342369.1	4tqv_K	30	39
WP_014342369.1	4tqv_K	26	36
WP_014342369.1	4tqv_H	30	39
WP_014342369.1	4tqv_H	26	36
WP_014342369.1	4tqv_G	30	39
WP_014342369.1	4tqv_G	26	36
WP_014342369.1	4tqv_D	30	39
WP_014342369.1	4tqv_D	26	36
WP_014342369.1	4tqv_C	30	39
WP_014342369.1	4tqv_C	26	36
WP_014342369.1	4tqu_T	30	39
WP_014342369.1	4tqu_T	26	36
WP_014342369.1	4tqu_S	30	39
WP_014342369.1	4tqu_S	26	36
WP_014342369.1	7kyp_O	29	38
WP_014342369.1	7kyp_O	23	35
WP_014342369.1	7kyp_M	29	38
WP_014342369.1	7kyp_M	23	35
WP_014342369.1	7kyp_K	29	38
WP_014342369.1	7kyp_K	23	35
WP_014342369.1	7kyp_I	29	38
WP_014342369.1	7kyp_I	23	35
WP_014342369.1	7kyp_G	29	38
WP_014342369.1	7kyp_G	23	35
WP_014342369.1	7kyp_E	29	38
WP_014342369.1	7kyp_E	23	35
WP_014342369.1	7kyp_C	29	38
WP_014342369.1	7kyp_C	23	35
WP_014342369.1	7kyp_A	29	38
WP_014342369.1	7kyp_A	23	35
WP_014342369.1	7kyo_B	29	38
WP_014342369.1	7kyo_B	23	35
WP_014342369.1	5xu1_B	28	38
WP_014342369.1	5xu1_B	23	36
WP_014342369.1	5xu1_A	28	38
WP_014342369.1	5xu1_A	23	36
WP_014342369.1	3d31_B	28	37
WP_014342369.1	3d31_B	26	37
WP_014342369.1	3d31_A	28	37
WP_014342369.1	3d31_A	26	37
WP_014342369.1	1oxv_D	29	37
WP_014342369.1	1oxv_D	28	36
WP_014342369.1	1oxv_B	29	37
WP_014342369.1	1oxv_B	28	36
WP_014342369.1	1oxv_A	29	37
WP_014342369.1	1oxv_A	28	36
WP_014342369.1	1oxu_C	29	37
WP_014342369.1	1oxu_C	28	36
WP_014342369.1	1oxu_B	29	37
WP_014342369.1	1oxu_B	28	36
WP_014342369.1	1oxu_A	29	37
WP_014342369.1	1oxu_A	28	36
WP_014342369.1	1oxt_D	29	37
WP_014342369.1	1oxt_D	28	36
WP_014342369.1	1oxt_B	29	37
WP_014342369.1	1oxt_B	28	36
WP_014342369.1	1oxt_A	29	37
WP_014342369.1	1oxt_A	28	36
WP_014342369.1	1oxs_C	29	37
WP_014342369.1	1oxs_C	28	36
WP_014342369.1	7tc0_A	29	37
WP_014342369.1	7tc0_A	25	37
WP_014342369.1	7tc0_A	24	34
WP_014342369.1	7tc0_A	25	33
WP_014342369.1	7tbz_A	29	37
WP_014342369.1	7tbz_A	25	37
WP_014342369.1	7tbz_A	24	34
WP_014342369.1	7tbz_A	25	33
WP_014342369.1	7tby_A	29	37
WP_014342369.1	7tby_A	25	37
WP_014342369.1	7tby_A	24	34
WP_014342369.1	7tby_A	25	33
WP_014342369.1	7roq_A	29	37
WP_014342369.1	7roq_A	25	37
WP_014342369.1	7roq_A	24	34
WP_014342369.1	7roq_A	25	33
WP_014342369.1	5xjy_A	29	37
WP_014342369.1	5xjy_A	25	37
WP_014342369.1	5xjy_A	24	34
WP_014342369.1	5xjy_A	25	33
WP_014342369.1	6mit_E	26	38
WP_014342369.1	6mit_E	27	36
WP_014342369.1	6mit_D	26	38
WP_014342369.1	6mit_D	27	36
WP_014342369.1	6mit_B	26	38
WP_014342369.1	6mit_B	27	36
WP_014342369.1	6mit_A	26	38
WP_014342369.1	6mit_A	27	36
WP_014342369.1	7efo_B	26	39
WP_014342369.1	7efo_B	27	36
WP_014342369.1	7efo_A	26	39
WP_014342369.1	7efo_A	27	36
WP_014342369.1	5l75_B	26	39
WP_014342369.1	5l75_B	27	36
WP_014342369.1	5l75_A	26	39
WP_014342369.1	5l75_A	27	36
WP_014342369.1	7lb8_C	26	43
WP_014342369.1	7lb8_C	25	37
WP_014342369.1	7lb8_U	26	43
WP_014342369.1	7lb8_U	25	37
WP_014342369.1	4wbs_B	28	40
WP_014342369.1	4wbs_B	24	42
WP_014342369.1	4wbs_A	28	40
WP_014342369.1	4wbs_A	24	42
WP_014342369.1	7mc0_D	30	40
WP_014342369.1	7mc0_D	25	38
WP_014342369.1	7mc0_C	30	40
WP_014342369.1	7mc0_C	25	38
WP_014342369.1	7mbz_D	30	40
WP_014342369.1	7mbz_D	25	38
WP_014342369.1	7mbz_C	30	40
WP_014342369.1	7mbz_C	25	38
WP_014342369.1	7tbw_A	28	37
WP_014342369.1	7tbw_A	25	37
WP_014342369.1	7tbw_A	24	34
WP_014342369.1	7tbw_A	26	33
WP_014342369.1	1oxx_K	29	37
WP_014342369.1	1oxx_K	28	36
WP_014342369.1	1mt0_A	26	40
WP_014342369.1	1mt0_A	28	36
WP_014342369.1	2ff7_A	26	40
WP_014342369.1	2ff7_A	28	36
WP_014342369.1	1q1b_D	27	51
WP_014342369.1	1q1b_D	25	37
WP_014342369.1	1q1b_C	27	51
WP_014342369.1	1q1b_C	25	37
WP_014342369.1	1q1b_B	27	51
WP_014342369.1	1q1b_B	25	37
WP_014342369.1	1q1b_A	27	51
WP_014342369.1	1q1b_A	25	37
WP_014342369.1	2pmk_A	26	40
WP_014342369.1	2pmk_A	28	36
WP_014342369.1	4ki0_B	27	51
WP_014342369.1	4ki0_B	25	37
WP_014342369.1	4ki0_A	27	51
WP_014342369.1	4ki0_A	25	37
WP_014342369.1	4khz_B	27	51
WP_014342369.1	4khz_B	25	37
WP_014342369.1	4khz_A	27	51
WP_014342369.1	4khz_A	25	37
WP_014342369.1	4jbw_D	27	51
WP_014342369.1	4jbw_D	25	37
WP_014342369.1	4jbw_C	27	51
WP_014342369.1	4jbw_C	25	37
WP_014342369.1	4jbw_B	27	51
WP_014342369.1	4jbw_B	25	37
WP_014342369.1	4jbw_A	27	51
WP_014342369.1	4jbw_A	25	37
WP_014342369.1	3rlf_B	27	51
WP_014342369.1	3rlf_B	25	37
WP_014342369.1	3rlf_A	27	51
WP_014342369.1	3rlf_A	25	37
WP_014342369.1	3pv0_B	27	51
WP_014342369.1	3pv0_B	25	37
WP_014342369.1	3pv0_A	27	51
WP_014342369.1	3pv0_A	25	37
WP_014342369.1	3puz_B	27	51
WP_014342369.1	3puz_B	25	37
WP_014342369.1	3puz_A	27	51
WP_014342369.1	3puz_A	25	37
WP_014342369.1	3puy_B	27	51
WP_014342369.1	3puy_B	25	37
WP_014342369.1	3puy_A	27	51
WP_014342369.1	3puy_A	25	37
WP_014342369.1	3pux_B	27	51
WP_014342369.1	3pux_B	25	37
WP_014342369.1	3pux_A	27	51
WP_014342369.1	3pux_A	25	37
WP_014342369.1	3puw_B	27	51
WP_014342369.1	3puw_B	25	37
WP_014342369.1	3puw_A	27	51
WP_014342369.1	3puw_A	25	37
WP_014342369.1	3puv_B	27	51
WP_014342369.1	3puv_B	25	37
WP_014342369.1	3puv_A	27	51
WP_014342369.1	3puv_A	25	37
WP_014342369.1	3fh6_D	27	51
WP_014342369.1	3fh6_D	25	37
WP_014342369.1	3fh6_C	27	51
WP_014342369.1	3fh6_C	25	37
WP_014342369.1	3fh6_B	27	51
WP_014342369.1	3fh6_B	25	37
WP_014342369.1	3fh6_A	27	51
WP_014342369.1	3fh6_A	25	37
WP_014342369.1	2awo_D	27	51
WP_014342369.1	2awo_D	25	37
WP_014342369.1	2awo_C	27	51
WP_014342369.1	2awo_C	25	37
WP_014342369.1	2awo_B	27	51
WP_014342369.1	2awo_B	25	37
WP_014342369.1	2awo_A	27	51
WP_014342369.1	2awo_A	25	37
WP_014342369.1	2awn_D	27	51
WP_014342369.1	2awn_D	25	37
WP_014342369.1	2awn_C	27	51
WP_014342369.1	2awn_C	25	37
WP_014342369.1	2awn_B	27	51
WP_014342369.1	2awn_B	25	37
WP_014342369.1	2awn_A	27	51
WP_014342369.1	2awn_A	25	37
WP_014342369.1	1q1e_B	27	51
WP_014342369.1	1q1e_B	25	37
WP_014342369.1	1q1e_A	27	51
WP_014342369.1	1q1e_A	25	37
WP_014342369.1	1q12_D	27	51
WP_014342369.1	1q12_D	25	37
WP_014342369.1	1q12_C	27	51
WP_014342369.1	1q12_C	25	37
WP_014342369.1	1q12_B	27	51
WP_014342369.1	1q12_B	25	37
WP_014342369.1	1q12_A	27	51
WP_014342369.1	1q12_A	25	37
WP_014342369.1	4yer_B	27	43
WP_014342369.1	4yer_B	24	38
WP_014342369.1	4yer_A	27	43
WP_014342369.1	4yer_A	24	38
WP_014342369.1	1z47_B	30	35
WP_014342369.1	1z47_B	27	36
WP_014342369.1	1z47_A	30	35
WP_014342369.1	1z47_A	27	36
WP_014342369.1	3b5j_A	26	40
WP_014342369.1	3b5j_A	28	36
WP_014342369.1	5lj7_B	26	36
WP_014342369.1	5lj7_B	26	37
WP_014342369.1	5lj7_A	26	36
WP_014342369.1	5lj7_A	26	37
WP_014342369.1	5lj6_A	26	36
WP_014342369.1	5lj6_A	26	37
WP_014342369.1	5lil_B	26	36
WP_014342369.1	5lil_B	26	37
WP_014342369.1	5lil_A	26	36
WP_014342369.1	5lil_A	26	37
WP_014342369.1	2r6g_B	26	51
WP_014342369.1	2r6g_B	26	37
WP_014342369.1	2r6g_A	26	51
WP_014342369.1	2r6g_A	26	37
WP_014342369.1	2fgk_D	26	40
WP_014342369.1	2fgk_D	28	36
WP_014342369.1	2fgk_C	26	40
WP_014342369.1	2fgk_C	28	36
WP_014342369.1	2fgk_B	26	40
WP_014342369.1	2fgk_B	28	36
WP_014342369.1	2fgk_A	26	40
WP_014342369.1	2fgk_A	28	36
WP_014342369.1	2ffb_A	26	40
WP_014342369.1	2ffb_A	28	36
WP_014342369.1	1f3o_A	28	36
WP_014342369.1	1f3o_A	24	38
WP_014342369.1	2yyz_A	32	37
WP_014342369.1	2yyz_A	25	37
WP_014342369.1	3tif_B	26	41
WP_014342369.1	3tif_B	25	38
WP_014342369.1	3tif_A	26	41
WP_014342369.1	3tif_A	25	38
WP_014342369.1	1l2t_B	27	36
WP_014342369.1	1l2t_B	25	38
WP_014342369.1	1l2t_A	27	36
WP_014342369.1	1l2t_A	25	38
WP_014342369.1	5lja_A	26	41
